timestamp,src_ip,dst_ip,protocol,ttl,packet_length,tcp_syn,tcp_ack,tcp_fin,label
1700000828,192.168.0.21,10.0.1.54,UDP,117,1046,0,0,0,no_anomaly
1700002005,192.168.1.37,10.0.6.187,TCP,41,405,0,0,0,no_anomaly
1700000143,192.168.2.248,10.0.5.239,TCP,91,799,0,1,0,no_anomaly
1700002333,192.168.2.174,10.0.2.83,UDP,116,851,0,0,0,no_anomaly
1700000913,192.168.1.223,10.0.4.54,TCP,32,902,1,0,0,no_anomaly
1700001247,192.168.1.157,10.0.0.30,TCP,56,1369,1,0,0,no_anomaly
1700001941,192.168.3.44,10.0.5.179,TCP,84,1005,0,0,0,no_anomaly
1700000302,192.168.3.62,10.0.7.85,TCP,101,898,1,0,0,no_anomaly
1700000417,192.168.2.181,10.0.3.141,UDP,74,388,0,0,0,no_anomaly
1700001398,192.168.2.240,10.0.7.76,UDP,108,1098,0,0,0,no_anomaly
1700001979,192.168.2.225,10.0.6.50,ICMP,41,496,0,0,0,no_anomaly
1700001327,192.168.0.203,10.0.4.184,UDP,77,416,0,0,0,no_anomaly
1700002204,192.168.1.184,10.0.2.183,UDP,96,419,0,0,0,no_anomaly
1700001947,192.168.3.202,10.0.2.231,UDP,74,953,0,0,0,no_anomaly
1700000288,192.168.1.103,10.0.3.11,TCP,92,725,1,1,0,no_anomaly
1700000169,192.168.0.247,10.0.0.58,TCP,68,435,0,1,0,no_anomaly
1700001714,192.168.3.226,10.0.3.94,UDP,114,478,0,0,0,no_anomaly
1700001746,192.168.3.63,10.0.1.67,UDP,125,1003,0,0,0,no_anomaly
1700000730,192.168.3.39,10.0.6.189,TCP,48,906,0,1,0,no_anomaly
1700000895,192.168.2.44,10.0.3.165,UDP,41,656,0,0,0,no_anomaly
1700002000,192.168.2.183,10.0.0.129,TCP,111,525,0,0,0,no_anomaly
1700000520,192.168.3.239,10.0.0.162,UDP,50,1256,0,0,0,no_anomaly
1700001035,192.168.1.239,10.0.7.199,TCP,116,429,0,1,0,no_anomaly
1700002300,192.168.2.7,10.0.2.81,TCP,59,1347,0,0,0,no_anomaly
1700000192,192.168.1.160,10.0.5.12,UDP,70,526,0,0,0,no_anomaly
1700001357,192.168.2.241,10.0.5.64,UDP,51,381,0,0,0,no_anomaly
1700000821,192.168.3.225,10.0.4.7,TCP,98,1068,0,1,0,no_anomaly
1700001163,192.168.2.105,10.0.7.91,ICMP,55,1170,0,0,0,no_anomaly
1700001182,192.168.2.213,10.0.2.224,TCP,36,1488,0,0,0,no_anomaly
1700001937,192.168.2.105,10.0.1.156,TCP,111,369,1,0,0,no_anomaly
1700001613,192.168.0.151,10.0.0.139,UDP,58,74,0,0,0,no_anomaly
1700001344,192.168.3.43,10.0.5.222,TCP,125,1072,0,0,0,no_anomaly
